Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple,Prob x Reward
89,0.00446428125,7.5515861666666675,2.332633390961016,0.03371240453160938,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 0, 0, 2, 0]"
90,0.005102025510219387,7.500001166667834,1.7402814587733346,0.03826519727901446,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 15, 0, 15, 2, 15]"
91,0.035714214285749994,7.333333333333336,2.511007853333334,0.26190423809550006,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 24, 2, 24, 2, 24]"
92,0.008928553571437499,7.999999999999998,2.511007853333334,0.07142842857149997,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 0, 3, 0, 18]"
93,0.0089285625,7.345237166666666,2.3516742169057627,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 2, 21, 0, 0, 0, 17, 2, 17]"
94,0.017857107142874997,7.333333333333335,2.511007853333334,0.13095211904775,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 0, 3, 2, 3]"
95,0.017857125,6.8452371666666645,2.330095184477219,0.12223625573981248,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0]"
96,0.017857107142874997,7.66666666666667,2.5110078533333335,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 2, 3, 0, 24]"
97,0.008928553571437499,8.000000000000004,2.5110078533333335,0.07142842857150002,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 2, 3, 0, 24]"
98,0.0089285625,7.3452371666666645,2.349801769499683,0.06558240911990623,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 14, 0, 21, 0, 0, 2, 0, 2, 0, 0, 17, 2, 17]"
99,0.008928553571437499,7.999999999999998,2.511007853333334,0.07142842857149997,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 2, 3, 0, 3, 0, 18]"
100,0.017857107142874997,7.66666666666667,2.647541186666667,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 2, 3, 0, 3, 2, 3, 0, 24, 2, 24]"
101,0.035714214285749994,7.3333333333333375,2.511007853333334,0.2619042380955001,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 2, 3, 0, 24]"
102,0.005102025510219387,8.1666678333345,1.8535069137066675,0.041666547619160714,"[19, 0, 19, 0, 9, 2, 13, 0, 8, 0, 15, 2, 15, 0, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
103,0.03571425,6.638888166666665,2.350842018058616,0.23710291170637496,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 2, 21, 2, 21, 2, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
104,0.0089285625,7.238094,2.3352964272718855,0.06462577465987501,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 2, 21, 0, 21, 2, 21, 0, 21, 2, 21]"
105,0.035714214285749994,7.333333333333337,2.647541186666667,0.26190423809550006,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 2, 3, 2, 3, 2, 3, 0, 24, 2, 24]"
106,0.02040810204087755,7.500001166667836,1.782482273706668,0.15306078911605786,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 2, 13, 0, 8, 2, 8, 2, 8, 0, 15, 0, 11, 0, 23, 2, 23]"
107,0.010204051020438774,7.166667833334501,1.7402814587733344,0.07312904421788266,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 2, 15, 2, 15, 0, 15, 0, 15]"
108,0.005102025510219387,7.500001166667835,1.7402814587733348,0.03826519727901446,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 2, 15, 0, 15, 0, 11]"
109,0.035714214285749994,7.3333333333333295,2.5110078533333335,0.26190423809549984,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 18, 2, 18, 2, 18, 2, 18]"
110,0.005102025510219387,8.166667833334502,1.7975476893866684,0.04166654761916072,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 0, 15, 0, 15, 2, 15, 0, 11, 0, 23]"
